NCT	Phase	Conditions	Drugs	BriefTitle	OfficialTrial	Oncotree Codes
NCT02883049	3	B Acute Lymphoblastic Leukemia|Central Nervous System Leukemia|Ph-Like Acute Lymphoblastic Leukemia|Testicular Leukemia|Untreated Adult Acute Lymphoblastic Leukemia|Untreated Childhood Acute Lymphoblastic Leukemia	Clofarabine|Cyclophosphamide|Cytarabine|Dasatinib|Daunorubicin Hydrochloride|Dexamethasone|Doxorubicin Hydrochloride|Etoposide|Hydrocortisone Sodium Succinate|Leucovorin Calcium|Mercaptopurine|Methotrexate|Pegaspargase|Prednisone|Thioguanine|Vincristine Sulfate	Combination Chemotherapy in Treating Young Patients With Newly Diagnosed High-Risk B Acute Lymphoblastic Leukemia and Ph-Like TKI Sensitive Mutations	A Phase III Randomized Trial for Newly Diagnosed High Risk B-Lymphoblastic Leukemia (B-ALL) Including a Stratum Evaluating Dasatinib (NSC#732517) in Patients With Ph-Like Tyrosine Kinase Inhibitor (TKI) Sensitive Mutations	ES|BRAIN|LYMPH|EPIS
NCT02892201	2	Head and Neck Squamous Cell Carcinoma	Pembrolizumab	Pembrolizumab in HNSCC With Residual Disease After Radiation	A Phase II Study of Pembrolizumab for Patients With Head and Neck Squamous Cell Carcinoma With Residual Disease Following Definitive Chemoradiation	HNSC
NCT02893930	2	Pancreatic Neuroendocrine Tumor G1|Pancreatic Neuroendocrine Tumor G2|Refractory Pancreatic Neuroendocrine Carcinoma	Sapanisertib	Sapanisertib in Treating Patients With Metastatic or Refractory Pancreatic Neuroendocrine Tumor That Cannot Be Removed by Surgery	A Phase II Study of MLN0128 (TAK-228) in Rapalog-Resistant Advanced Pancreatic Neuroendocrine Tumors (PNET)	PANET|MT
NCT02899195	2	Mesothelioma|Pleural Mesothelioma	Concurrent Durvalumab|Maintenance Durvalumab	Phase II MEDI4736 in Combination With Chemotherapy for First-Line Treatment of Unresectable Mesothelioma	Open Label, Phase II Study of Anti - Programmed Death - Ligand 1 Antibody, Durvalumab (MEDI4736), in Combination With Chemotherapy for the First-Line Treatment of Unresectable Mesothelioma	TMESO|PLSMESO|PLMESO|SFT|ES|PLEMESO|PLBMESO|PEMESO|EPIS
NCT02902484	1/Phase 2	Cancer of Pancreas	Nintedanib	Study of Nintedanib and Chemotherapy for Advanced Pancreatic Cancer	A Phase 1b and Pharmacodynamic Study of Nintedanib Monotherapy for Advanced Pancreatic Cancer	MT|PANCREAS
NCT02912559	3	Colon Adenocarcinoma|DNA Repair Disorder|Lynch Syndrome|Stage III Colon Cancer AJCC v7|Stage IIIA Colon Cancer AJCC v7|Stage IIIB Colon Cancer AJCC v7|Stage IIIC Colon Cancer AJCC v7	Atezolizumab|Fluorouracil|Leucovorin Calcium|Oxaliplatin	Combination Chemotherapy With or Without Atezolizumab in Treating Patients With Stage III Colon Cancer and Deficient DNA Mismatch Repair	Randomized Trial of Standard Chemotherapy Alone or Combined With Atezolizumab as Adjuvant Therapy for Patients With Stage III Colon Cancer and Deficient DNA Mismatch Repair	MT|CHOL|COAD
NCT02913261	3	Corticosteroid Refractory Acute Graft vs Host Disease	Ruxolitinib|Best Available Therapy (BAT)	Safety and Efficacy of Ruxolitinib Versus Best Available Therapy in Patients With Corticosteroid-refractory Acute Graft vs. Host Disease After Allogeneic Stem Cell Transplantation	A Phase III Randomized Open-label Multi-center Study of Ruxolitinib Versus Best Available Therapy in Patients With Corticosteroid-refractory Acute Graft vs. Host Disease After Allogeneic Stem Cell Transplantation	
NCT02922777	1	Non-Small Cell Lung Carcinoma	BGB324|Docetaxel	Trial of Dose Escalated BGB324 in Previously Treated Non-small Cell Lung Cancer.	Phase 1 Trial of Dose Escalated BGB324 in Combination With Docetaxel for Previously Treated Advanced Non-small Cell Lung Cancer (NSCLC)	NSCLC
NCT02924376	2	Cholangiocarcinoma	INCB054828	Efficacy and Safety of INCB054828 in Subjects With Advanced/Metastatic or Surgically Unresectable Cholangiocarcinoma Who Failed Previous Therapy	A Phase 2, Open-Label, Single-Arm, Multicenter Study to Evaluate the Efficacy and Safety of INCB054828 in Subjects With Advanced/Metastatic or Surgically Unresectable Cholangiocarcinoma Including FGFR2 Translocations Who Failed Previous Therapy	CHOL
NCT02927769	2	Hodgkin Disease		A Study of Nivolumab Plus Brentuximab Vedotin in Patients Between 5 and 30 Years Old, With Hodgkin's Lymphoma (cHL), Relapsed or Refractory From First Line Treatment	Risk-based, Response-adapted, Phase II Open-label Trial of Nivolumab + Brentuximab Vedotin (N + Bv) for Children, Adolescents, and Young Adults With Relapsed/Refractory (R/R) CD30 + Classic Hodgkin Lymphoma (cHL) After Failure of First-line Therapy, Followed by Brentuximab + Bendamustine (Bv + B) for Participants With a Suboptimal Response (CheckMate 744: CHECKpoint Pathway and Nivolumab Clinical Trial Evaluation)	HL
NCT02947347	3	Treatment Naive Follicular Lymphoma	ibrutinib|placebo to match ibrutinib|rituximab|ibrutinib|placebo to match ibrutinib|placebo to match ibrutinib	Study of Ibrutinib and Rituximab in Treatment Naïve Follicular Lymphoma	A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 3 Study of the Bruton's Tyrosine Kinase (BTK) Inhibitor, Ibrutinib, in Combination With Rituximab Versus Placebo in Combination With Rituximab in Treatment Naïve Subjects With Follicular Lymphoma (PERSPECTIVE)	MLYM|LYMPH|FL
NCT02952534	2	Metastatic Castration Resistant Prostate Cancer	Rucaparib	A Study of Rucaparib in Patients With Metastatic Castration-resistant Prostate Cancer and Homologous Recombination Gene Deficiency	TRITON2: A Multicenter, Open-label Phase 2 Study of Rucaparib in Patients With Metastatic Castration-resistant Prostate Cancer Associated With Homologous Recombination Deficiency	MT|ES|PROSTATE|EPIS
NCT02981628	2	Childhood B Acute Lymphoblastic Leukemia|Recurrent Childhood Acute Lymphoblastic Leukemia|Refractory Childhood Acute Lymphoblastic Leukemia		Inotuzumab Ozogamicin in Treating Younger Patients With Relapsed or Refractory CD22 Positive B Acute Lymphoblastic Leukemia	A Phase 2 Study of Inotuzumab Ozogamicin (NSC# 772518) in Children and Young Adults With Relapsed or Refractory CD22+ B-Acute Lymphoblastic Leukemia (B-ALL)	LYMPH
NCT02989857	3	Advanced Cholangiocarcinoma|Metastatic Cholangiocarcinoma	AG-120|AG-120 matched placebo	Study of AG-120 in Previously Treated Advanced Cholangiocarcinoma With IDH1 Mutations (ClarIDHy)	A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-controlled Study of AG-120 in Previously-treated Subjects With Nonresectable or Metastatic Cholangiocarcinoma With an IDH1 Mutation	MT|CHOL
NCT03007147	3	B Acute Lymphoblastic Leukemia|BCR-ABL1 Fusion Protein Expression|Minimal Residual Disease|Philadelphia Chromosome Positive|T Acute Lymphoblastic Leukemia|Untreated Adult Acute Lymphoblastic Leukemia|Untreated Childhood Acute Lymphoblastic Leukemia	Cyclophosphamide|Cytarabine|Daunorubicin Hydrochloride|Dexamethasone|Dexrazoxane Hydrochloride|Doxorubicin|Etoposide|Ifosfamide|Imatinib Mesylate|Leucovorin Calcium|Mercaptopurine|Mercaptopurine|Methotrexate|Methylprednisolone|Pegaspargase|Prednisolone|Therapeutic Hydrocortisone|Thioguanine|Vincristine Sulfate	Imatinib Mesylate and Combination Chemotherapy in Treating Patients With Newly Diagnosed Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia	International Phase 3 Trial in Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (Ph+ALL) Testing Imatinib in Combination With Two Different Cytotoxic Chemotherapy Backbones	ES|LYMPH|ESS|EPIS|SYNS
NCT03013998	1/Phase 2	Previously Untreated Acute Myeloid Leukemia	Daunorubicin (BAML-16-001-S1)|Cytarabine (BAML-16-001-S1)|Azacitidine (BAML-16-001-S2)|AG-221 (BAML-16-001-S3)|Azacitidine (BAML-16-001-S3)|Entospletinib (BAML-16-001-S4)|Azacitidine (BAML-16-001-S4)|Entospletinib (BAML-16-001-S5)|Decitabine (BAML-16-001-S5)|Entospletinib (BAML-16-001-S6)|Azacitidine (BAML-16-001-S6)|Daunorubicin (BAML-16-001-S6)|Cytarabine (BAML-16-001-S6)|Pevonedistat (BAML-16-001-S9)|Azacitidine (BAML-16-001-S9)|AG-120 (BAML-16-001-S16)|Azacitidine (BAML-16-001-S16)	Study of Biomarker-Based Treatment of Acute Myeloid Leukemia	A Master Protocol for Biomarker-Based Treatment of AML (The Beat AML Trial)	AML|CML|MYELOID
NCT03024996	3	Renal Cell Carcinoma	Atezolizumab	A Study of Atezolizumab as Adjuvant Therapy in Participants With Renal Cell Carcinoma (RCC) at High Risk of Developing Metastasis Following Nephrectomy	A Phase III, Multicenter, Randomized, Placebo-Controlled, Double-Blind Study of Atezolizumab (Antiâˆ’PD-L1 Antibody) as Adjuvant Therapy in Patients With Renal Cell Carcinoma at High Risk of Developing Metastasis Following Nephrectomy	RCC
NCT03029585	2	Ovarian Carcinoma	NanoPac® 100 mg/m2|NanoPac® 200 mg/m2|NanoPac® 300 mg/m2|NanoPac® 400 mg/m2|Standard of Care Intravenous Chemotherapy	Phase II Study of Intraperitoneal NanoPac® in Patients With Ovarian Cancer	Phase II Study of Four Dose Levels of Intraperitoneal NanoPac® Plus IV Carboplatin and Paclitaxel in Patients With Epithelial Ovarian Cancer Undergoing Cytoreductive Surgery	MT|MXOV
NCT03033511	3	Small Cell Lung Cancer	Placebo for dexamethasone|Placebo for rovalpituzumab tesirine|Rovalpituzumab tesirine|Dexamethasone	A Study of Rovalpituzumab Tesirine as Maintenance Therapy Following First- Line Platinum-Based Chemotherapy in Participants With Extensive Stage Small Cell Lung Cancer (MERU)	A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Rovalpituzumab Tesirine as Maintenance Therapy Following First-Line Platinum-Based Chemotherapy in Subjects With Extensive Stage Small Cell Lung Cancer (MERU)	SCLC
NCT03033576	2	Stage III Cutaneous Melanoma AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7		Ipilimumab With or Without Nivolumab in Treating Patients With Melanoma That Is Stage IV or Stage III and Cannot Be Removed by Surgery	A Phase II Randomized Study of Nivolumab (NSC-748726) With Ipilimumab (NSC-732442) or Ipilimumab Alone in Advanced Melanoma Patients Refractory to an Anti-PD1 or Anti-PD-L1 Agent	SKCM|CHOL|MEL
NCT03036488	3	Triple Negative Breast Neoplasms	Carboplatin|Paclitaxel|Doxorubicin|Epirubicin|Cyclophosphamide|Placebo	Study of Pembrolizumab (MK-3475) Plus Chemotherapy vs Placebo Plus Chemotherapy as Neoadjuvant Therapy and Pembrolizumab vs Placebo as Adjuvant Therapy in Participants With Triple Negative Breast Cancer (TNBC) (MK-3475-522/KEYNOTE-522)	A Phase III, Randomized, Double-blind Study to Evaluate Pembrolizumab Plus Chemotherapy vs Placebo Plus Chemotherapy as Neoadjuvant Therapy and Pembrolizumab vs Placebo as Adjuvant Therapy for Triple Negative Breast Cancer (TNBC)	BREAST
NCT03038100	3	Ovarian Cancer|Fallopian Tube Cancer|Peritoneal Neoplasms	Paclitaxel|Carboplatin|Atezolizumab|Bevacizumab|Atezolizumab Placebo	A Study of Atezolizumab Versus Placebo in Combination With Paclitaxel, Carboplatin, and Bevacizumab in Participants With Newly-Diagnosed Stage III or Stage IV Ovarian, Fallopian Tube, or Primary Peritoneal Cancer	A Phase III, Multicenter, Randomized, Study of Atezolizumab Versus Placebo Administered in Combination With Paclitaxel, Carboplatin, and Bevacizumab to Patients With Newly-Diagnosed Stage III or Stage IV Ovarian, Fallopian Tube, or Primary Peritoneal Cancer	CCOV|MT|SOC|HGSOC|MOV|EOV|HGSFT|OOVC|LGSOC
NCT03055013	3	Sarcomatoid Renal Cell Carcinoma|Stage II Renal Cell Cancer AJCC v7|Stage III Renal Cell Cancer AJCC v7|Unclassified Renal Cell Carcinoma		Nivolumab in Treating Patients With Localized Kidney Cancer Undergoing Nephrectomy	A Phase 3 Randomized Study Comparing Perioperative Nivolumab vs. Observation in Patients With Localized Renal Cell Carcinoma Undergoing Nephrectomy (PROSPER RCC)	SRCC|MT|RCC|URCC|CHOL
NCT03061812	3	Small Cell Lung Cancer	Rovalpituzumab tesirine|Topotecan	Study Comparing Rovalpituzumab Tesirine Versus Topotecan in Subjects With Advanced or Metastatic Small Cell Lung Cancer With High Levels of Delta-like Protein 3 (DLL3) and Who Have First Disease Progression During or Following Front-line Platinum-based Chemotherapy (TAHOE)	A Randomized, Open-label, Multicenter, Phase 3 Study of Rovalpituzumab Tesirine Compared With Topotecan for High DLL3 Expressing Small Cell Lung Cancer (SCLC) Subjects With First Relapse/Recurrence Following Front-Line Platinum-Based Chemotherapy (TAHOE)	SCLC
NCT03065179	2	Kidney Cancer Metastatic|Kidney Cancer|Kidney Cancer, Stage IV	Nivolumab/Ipilimumab	Trial of SBRT in Combination With Nivolumab/Ipilimumab in RCC / Kidney Cancer Patients	Phase II Trial of Stereotactic Body Radiation Therapy in Combination With Nivolumab Plus Ipilimumab in Patients With Metastatic Renal Cell Cancer	KIDNEY|MT
NCT03065712	2	Breast Cancer	F-18 Fluoroestradiol	Test - Retest Reproducibility of 18F Fluoroestradiol (FES) PET	Test - Retest Reproducibility of 18F Fluoroestradiol (FES) PET and Predictive Measure for Endocrine Therapy Response in Patients With Newly Diagnosed Metastatic Breast Cancer	MT|MMBC|IBC|BRCA|EMBC|IMMC|MBC|BREAST|ACBC
NCT03067181	3	Adult Germ Cell Tumor|Childhood Extracranial Germ Cell Tumor|Childhood Germ Cell Tumor|Extragonadal Embryonal Carcinoma|Grade 2 Immature Ovarian Teratoma|Grade 3 Immature Ovarian Teratoma|Malignant Germ Cell Tumor|Stage I Ovarian Choriocarcinoma|Stage I Ovarian Embryonal Carcinoma|Stage I Ovarian Teratoma|Stage I Ovarian Yolk Sac Tumor|Stage I Testicular Choriocarcinoma AJCC v6 and v7|Stage I Testicular Embryonal Carcinoma AJCC v6 and v7|Stage I Testicular Yolk Sac Tumor AJCC v6 and v7|Stage II Ovarian Choriocarcinoma|Stage II Ovarian Embryonal Carcinoma|Stage II Ovarian Yolk Sac Tumor|Stage II Testicular Choriocarcinoma AJCC v6 and v7|Stage II Testicular Embryonal Carcinoma AJCC v6 and v7|Stage II Testicular Yolk Sac Tumor AJCC v6 and v7|Stage III Ovarian Choriocarcinoma|Stage III Ovarian Embryonal Carcinoma|Stage III Ovarian Yolk Sac Tumor|Stage III Testicular Choriocarcinoma AJCC v6 and v7|Stage III Testicular Embryonal Carcinoma AJCC v6 and v7|Stage III Testicular Yolk Sac Tumor AJCC v6 and v7|Stage IV Ovarian Choriocarcinoma|Stage IV Ovarian Embryonal Carcinoma|Stage IV Ovarian Yolk Sac Tumor|Testicular Mixed Choriocarcinoma and Embryonal Carcinoma|Testicular Mixed Choriocarcinoma and Teratoma|Testicular Mixed Choriocarcinoma and Yolk Sac Tumor	Bleomycin|Carboplatin|Cisplatin|Etoposide	Active Surveillance, Bleomycin, Carboplatin, Etoposide, or Cisplatin in Treating Pediatric and Adult Patients With Germ Cell Tumors	A Phase 3 Study of Active Surveillance for Low Risk and a Randomized Trial of Carboplatin vs. Cisplatin for Standard Risk Pediatric and Adult Patients With Germ Cell Tumors	MT|EMBCA|TYST|ES|CHOL|BCCA|OIMT|OYST|EPIS|OEC|OMT|TCCA|TT
NCT03067610	2	Head and Neck Cancer|Carcinoma, Squamous Cell|Neoplasms, Oral|Neoplasms, Pharyngeal	chemotherapy	Involved Field Elective Volume De-Intensification Radiation Therapy for Head and Neck Cancer	A Prospective Phase II Study of Involved Field Elective Volume De-Intensification for Oropharyngeal and Laryngeal Squamous Cell Carcinoma Treated With Intensity Modulated Radiation Therapy	MT|HEAD_NECK
NCT03070886	2/Phase 3	Stage I Prostate Adenocarcinoma|Stage II Prostate Adenocarcinoma|Stage III Prostate Adenocarcinoma	Bicalutamide|Docetaxel|Flutamide|Goserelin Acetate|Leuprolide Acetate|Nilutamide	Antiandrogen Therapy and Radiation Therapy With or Without Docetaxel in Treating Patients With Prostate Cancer That Has Been Removed by Surgery	Phase II-III Trial of Adjuvant Radiotherapy Following Radical Prostatectomy With or Without Adjuvant Docetaxel	MT|PRAD|PROSTATE
NCT03072238	3	Metastatic Prostate Cancer	Ipatasertib|Abiraterone|Placebo	Ipatasertib Plus Abiraterone Plus Prednisone/Prednisolone, Relative to Placebo Plus Abiraterone Plus Prednisone/Prednisolone in Adult Male Patients With Metastatic Castrate-Resistant Prostate Cancer	A Phase III, Randomized, Double-Blind, Placebo-Controlled, Multicenter Trial Testing Ipatasertib Plus Abiraterone Plus Prednisone/Prednisolone, Relative to Placebo Plus Abiraterone Plus Prednisone/Prednisolone in Adult Male Patients With Asymptomatic or Mildly Symptomatic, Previously Untreated, Metastatic Castrate-Resistant Prostate Cancer	MT|PROSTATE
NCT03077698	2	Endometrial Cancer	Sodium Cridanimod|progestin therapy	An Endometrial Cancer Study for Women With Recurrent or Persistent Endometrial Cancer	A Phase 2, Single Arm, Two Period Study of Sodium Cridanimod in Conjunction With Progestin Therapy in Patients With Endometrial Carcinoma	MT|UCEC
NCT03091660	3	Stage 0 Bladder Urothelial Carcinoma|Stage 0is Bladder Urothelial Carcinoma|Stage I Bladder Urothelial Carcinoma		S1602: Different Strains of BCG With or Without Vaccine in High Grade Non- Muscle Invasive Bladder Cancer	S1602, A Phase III Randomized Trial to Evaluate the Influence of BCG Strain Differences and T Cell Priming With Intradermal BCG Before Intravesical Therapy for BCG-Naive High-Grade Non-muscle Invasive Bladder Cancer	MT|BLCA|BLADDER
NCT03095612	1/Phase 2	Non-small Cell Lung Cancer	Selinexor	Phase 1/2 Trial of Selinexor (KPT-330) With Docetaxel for Non-small Cell Lung Cancer (NSCLC)	An Investigator-Sponsored, Phase 1/2 Trial of the Oral XPO1 Inhibitor Selinexor (KPT-330) in Combination With Docetaxel for Previously Treated, Advanced KRAS Mutant Non-small Cell Lung Cancer (NSCLC)	LUNG|MT|NSCLC|SCLC|NSCLCPD
NCT03101566	2	Biliary Tract Neoplasms	Gemcitabine|Cisplatin|Ipilimumab|Nivolumab	Study of Nivolumab in Combination With Gemcitabine/Cisplatin or Ipilimumab for Patients With Advanced Unresectable Biliary Tract Cancer	A Multi-Center Randomized Phase II Study of Nivolumab in Combination With Gemcitabine/Cisplatin or Ipilimumab as First Line Therapy for Patients With Advanced Unresectable Biliary Tract Cancer [CA209-9FC]	BILIARY_TRACT
NCT03110562	3	Multiple Myeloma	Selinexor|Bortezomib|Dexamethasone	Bortezomib, Selinexor, and Dexamethasone in Patients With Multiple Myeloma	A Phase 3 Randomized, Controlled, Open-label Study of Selinexor, Bortezomib, and Dexamethasone (SVd) Versus Bortezomib and Dexamethasone (Vd) in Patients With Relapsed or Refractory Multiple Myeloma (RRMM)	PCM
NCT03117309	2	Advanced Renal Cell Carcinoma	Nivolumab 240 mg|Ipilimumab 1mg/kg|Nivolumab 3mg/kg|Nivolumab 360mg	Study of Front Line Therapy With Nivolumab and Salvage Nivolumab + Ipilimumab in Patients With Advanced Renal Cell Carcinoma	Phase II Study of Front Line Therapy With Nivolumab and Salvage Nivolumab + Ipilimumab in Patients With Advanced Renal Cell Carcinoma. HCRN: GU16-260	MT|RCC
NCT03126916	3	Childhood Ganglioneuroblastoma|Childhood Neuroblastoma|INRG Stage L2|INRG Stage M|INRG Stage MS|NMYC Gene Amplification|Recurrent Neuroblastoma	Busulfan|Carboplatin|Cisplatin|Crizotinib|Cyclophosphamide|Dexrazoxane Hydrochloride|Doxorubicin Hydrochloride|Etoposide Phosphate|Isotretinoin|Melphalan|Thiotepa|Topotecan Hydrochloride|Vincristine Sulfate	Iobenguane I-131 or Crizotinib and Standard Therapy in Treating Younger Patients With Newly-Diagnosed High-Risk Neuroblastoma or Ganglioneuroblastoma	A Phase 3 Study of 131I-Metaiodobenzylguanidine (131I-MIBG) or Crizotinib Added to Intensive Therapy for Children With Newly Diagnosed High-Risk Neuroblastoma (NBL)	GNBL|MT|NBL
NCT03137771	2	Recurrent Non-Small Cell Lung Carcinoma|Stage IV Non-Small Cell Lung Cancer	Docetaxel|Gemcitabine|Pemetrexed Disodium	Maintenance Chemotherapy With or Without Stereotactic Body Radiation Therapy in Treating Patients With Stage IV Non-small Cell Lung Cancer	Maintenance Systemic Therapy Versus Consolidative Stereotactic Body Radiation Therapy (SBRT) Plus Maintenance Systemic Therapy for Limited Metastatic Non-Small Cell Lung Cancer (NSCLC): A Randomized Phase II/III Trial	LUNG|MT|NSCLC|SCLC
NCT03138499	3	Hodgkin's Disease		A Study of Nivolumab Plus Brentuximab Vedotin Versus Brentuximab Vedotin Alone in Patients With Advanced Stage Classical Hodgkin Lymphoma, Who Are Relapsed/ Refractory or Who Are Not Eligible for Autologous Stem Cell Transplant,	Randomized, Open-label, Phase 3 Trial of Nivolumab Plus Brentuximab Vedotin Versus Brentuximab Vedotin Alone in Participants With Relapsed Refractory or Ineligible for Autologous Stem Cell Transplant (ASCT) Advanced Stage Classical Hodgkin Lymphoma (CheckMate 812: CHECKpoint Pathway and nivoluMAb Clinical Trial Evaluation 812)	HL
NCT03141034	2	Gastric Adenocarcinoma|Gastro-esophageal Junction Adenocarcinoma	Irinotecan|Ramucirumab	Ramucirumab Plus Irinotecan for Previously Treated Advanced Gastric or Gastro-esophageal Junction Adenocarcinoma	Ramucirumab Plus Irinotecan in Patients With Previously Treated Advanced Gastric or Gastro-esophageal Junction Adenocarcinoma	MT|ES|EPIS|STAD
NCT03142334	3	Renal Cell Carcinoma	Placebo (saline solution)	Safety and Efficacy Study of Pembrolizumab (MK-3475) as Monotherapy in the Adjuvant Treatment of Renal Cell Carcinoma Post Nephrectomy (MK-3475-564/KEYNOTE-564)	A Phase III, Randomized, Double-Blind, Placebo-Controlled Clinical Trial of Pembrolizumab (MK-3475) as Monotherapy in the Adjuvant Treatment of Renal Cell Carcinoma Post Nephrectomy (KEYNOTE-564)	RCC
NCT03151304	2	Myelodysplastic Syndromes	Pracinostat|Azacitidine	A Safety and Efficacy Study of Pracinostat and Azacitidine in Patients With High Risk Myelodysplastic Syndromes	A Two-Stage, Open-Label Phase 2 Study of Pracinostat and Azacitidine in Patients With IPSS-R High and Very High Risk Myelodysplastic Syndromes Previously Untreated With Hypomethylating Agents	MDS
NCT03155620	2	Advanced Malignant Solid Neoplasm|Ann Arbor Stage III Childhood Non-Hodgkin Lymphoma|Ann Arbor Stage IV Childhood Non-Hodgkin Lymphoma|Childhood Langerhans Cell Histiocytosis|Histiocytic Sarcoma|Juvenile Xanthogranuloma|Malignant Glioma|Recurrent Central Nervous System Neoplasm|Recurrent Childhood Ependymoma|Recurrent Childhood Malignant Germ Cell Tumor|Recurrent Childhood Medulloblastoma|Recurrent Childhood Non-Hodgkin Lymphoma|Recurrent Childhood Rhabdomyosarcoma|Recurrent Childhood Soft Tissue Sarcoma|Recurrent Ewing Sarcoma|Recurrent Glioma|Recurrent Hepatoblastoma|Recurrent Langerhans Cell Histiocytosis|Recurrent Malignant Solid Neoplasm|Recurrent Neuroblastoma|Recurrent Osteosarcoma|Recurrent Peripheral Primitive Neuroectodermal Tumor|Refractory Central Nervous System Neoplasm|Refractory Childhood Malignant Germ Cell Tumor|Refractory Langerhans Cell Histiocytosis|Refractory Malignant Solid Neoplasm|Refractory Neuroblastoma|Rhabdoid Tumor|Stage III Osteosarcoma AJCC v7|Stage III Soft Tissue Sarcoma AJCC v7|Stage IV Osteosarcoma AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Stage IVA Osteosarcoma AJCC v7|Stage IVB Osteosarcoma AJCC v7|Wilms Tumor	Ensartinib|Erdafitinib|Larotrectinib|Olaparib|Palbociclib|PI3K/mTOR Inhibitor LY3023414|Selumetinib Sulfate|Tazemetostat|Vemurafenib	Targeted Therapy Directed by Genetic Testing in Treating Pediatric Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphomas, or Histiocytic Disorders (The Pediatric MATCH Screening Trial)	NCI-COG Pediatric MATCH (Molecular Analysis for Therapy Choice) Screening Protocol	NHL|RMS|HDCN|RBL|ES|JXG|PNET|SOFT_TISSUE|MLYM|BRAIN|HDCS|LCH|LYMPH|MRT|CHOL|OS|LIHB|MBL|NBL|TISSUE|HL|EPM|SYNS
NCT03155997	3	Breast Cancer	Abemaciclib|Standard Adjuvant Endocrine Therapy	Endocrine Therapy With or Without Abemaciclib (LY2835219) Following Surgery in Participants With Breast Cancer	A Randomized, Open-Label, Phase 3 Study of Abemaciclib Combined With Standard Adjuvant Endocrine Therapy Versus Standard Adjuvant Endocrine Therapy Alone in Patients With High Risk, Node Positive, Early Stage, Hormone Receptor Positive, Human Epidermal Receptor 2 Negative, Breast Cancer	MT|MMBC|IBC|BRCA|EMBC|IMMC|MBC|BREAST|ACBC
NCT03164603	1	Solid Tumor	NLG802	NLG802 Indoleamine 2,3-Dioxygenase (IDO) Inhibitor in Advanced Solid Tumors	A Phase 1 Study of NLG802 for Adult Patients With Recurrent Advanced Solid Tumors	
NCT03181126	1	Acute Lymphoblastic Leukemia (ALL)|Lymphoblastic Lymphoma	Navitoclax|Chemotherapy|Venetoclax	A Study of Venetoclax in Combination With Navitoclax and Chemotherapy in Subjects With Relapsed Acute Lymphoblastic Leukemia or Relapsed/Refractory Lymphoblastic Lymphoma	A Phase 1 Dose Escalation, Open-Label Study of Venetoclax in Combination With Navitoclax and Chemotherapy in Subjects With Relapsed/Refractory Acute Lymphoblastic Leukemia or Relapsed/Refractory Lymphoblastic Lymphoma	MLYM|LYMPH
NCT03190915	2	Activating RAS Mutation|Blasts Under 20 Percent of Bone Marrow Nucleated Cells|Blasts Under 20 Percent of Peripheral Blood White Cells|Juvenile Myelomonocytic Leukemia|Monosomy 7|Neurofibromatosis Type 1|NF1 Gene Mutation|PTPN11 Gene Mutation|Splenomegaly	Trametinib	Trametinib in Treating Patients With Relapsed or Refractory Juvenile Myelomonocytic Leukemia	A Phase 2 Study of the MEK Inhibitor Trametinib (NSC# 763093) in Children With Relapsed or Refractory Juvenile Myelomonocytic Leukemia	NFIB|JMML|MYELOID|BONE
