,Oncotree,Term
1719,MAC,Syringomatous Carcinoma
1720,RCC,Adenocarcinoma of Kidney
1721,RCC,Adenocarcinoma of the Kidney
1722,RCC,Kidney Adenocarcinoma
1723,RCC,Renal Cell Adenocarcinoma
1724,RCC,Renal Cell Cancer
1725,RCC,"Renal Cell Carcinoma, Stage Unspecified"
1726,RCC,Renal Cell Carcinoma
1727,ERMS,Embryonal Rhabdomyosarcoma
1728,AWDNET,Appendix NET
1729,AWDNET,Appendix Neuroendocrine Tumor
1730,AWDNET,Appendix Well Differentiated Endocrine Tumor/Carcinoma
1731,AWDNET,Appendix Well Differentiated Endocrine Tumor
1732,THPD,Insular Carcinoma
1733,THPD,Poorly Differentiated Carcinoma of the Thyroid Gland
1734,THPD,Poorly Differentiated Carcinoma of Thyroid Gland
1735,THPD,Poorly Differentiated Thyroid Carcinoma
1736,THPD,Poorly Differentiated Thyroid Gland Carcinoma
1737,THPD,Thyroid Gland Poorly Differentiated Carcinoma
1738,SARCL,Lung Sarcomatoid Carcinoma
1739,MLYM,Lymphoma (Hodgkin and Non-Hodgkin)
1740,MLYM,Lymphoma (Hodgkin's and Non-Hodgkin's)
1741,MLYM,Lymphomatous
1742,MLYM,Lymphoma
1743,MLYM,Malignant Lymphoma
1744,LNET,Lung Neuroendocrine Neoplasm
1745,LNET,Neuroendocrine Neoplasm of Lung
1746,LNET,Neuroendocrine Neoplasm of the Lung
1747,LNET,Pulmonary Neuroendocrine Neoplasm
1748,SGAD,Sweat Gland Tubular Adenocarcinoma
1749,SGAD,Sweat Gland Tubular Carcinoma
1750,ESS,Endometrial Stromal Sarcoma
1751,ESS,Endometrioid Stromal Sarcoma
1752,THYM,Thymoma
1753,NHL,Non-Hodgkin Lymphoma
1754,NHL,Non-Hodgkin's Lymphoma (NHL)
1755,NHL,Non-Hodgkin's Lymphoma
1756,PCNSM,Central Nervous System Melanoma
1757,PCNSM,CNS Melanoma
1758,PCNSM,Melanoma of Central Nervous System
1759,PCNSM,Melanoma of CNS
1760,PCNSM,Melanoma of the Central Nervous System
1761,PCNSM,Melanoma of the CNS
1762,URCA,Bladder Urachal Carcinoma
1763,PINC,Pineocytoma (WHO Grade I)
1764,PINC,Pineocytoma
1765,BA,Angiosarcoma of Breast
1766,BA,Angiosarcoma of the Breast
1767,BA,Breast Angiosarcoma
1768,BA,Breast Hemangiosarcoma
1769,BA,Hemangiosarcoma of Breast
1770,BA,Hemangiosarcoma of the Breast
1771,INTS,Intimal Sarcoma
1772,HEMA,Angioma
1773,HEMA,Benign Angioma
1774,HEMA,Benign Hemangioma
1775,HEMA,Hemangioma
1776,MPT,Malignant Breast Phyllodes Neoplasm
1777,MPT,Malignant Breast Phyllodes Tumor
1778,MPT,Malignant Cystosarcoma Phyllodes of Breast
1779,MPT,Malignant Cystosarcoma Phyllodes of the Breast
1780,MPT,Malignant Mammary Phyllodes Neoplasm
1781,MPT,Malignant Mammary Phyllodes Tumor
1782,MPT,Malignant Phyllodes Breast Neoplasm
1783,MPT,Malignant Phyllodes Neoplasm of Breast
1784,MPT,Malignant Phyllodes Neoplasm of the Breast
1785,MPT,Malignant Phyllodes Tumor of Breast
1786,MPT,Malignant Phyllodes Tumor of the Breast
1787,LCLC,Anaplastic Lung Carcinoma
1788,LCLC,Large Cell Carcinoma of Lung
1789,LCLC,Large Cell Carcinoma of the Lung
1790,LCLC,Large Cell Lung Carcinoma
1791,LCLC,Large Cell Undifferentiated Lung Carcinoma
1792,LCLC,Lung Large Cell Carcinoma
1793,CM,Conjunctiva Melanoma
1794,CM,Conjunctival Melanoma
1795,CM,Malignant Conjunctiva Melanoma
1796,CM,Malignant Conjunctival Melanoma
1797,CM,Malignant Melanoma of Conjunctiva
1798,CM,Malignant Melanoma of the Conjunctiva
1799,CM,Melanoma of Conjunctiva
1800,CM,Melanoma of the Conjunctiva
1801,TT,Teratoma of Testis
1802,TT,Teratoma of the Testis
1803,TT,Testicular Teratoma
1804,CCE,Clear Cell Ependymoma
1805,PGNG,Neoplasm of Paraganglion
1806,PGNG,Neoplasm of the Paraganglion
1807,PGNG,Paraganglioma
1808,PGNG,Paraganglion Neoplasm
1809,PGNG,Paraganglion Tumor
1810,PGNG,Paraganglionic Neoplasm
1811,PGNG,Paraganglionic Tumor
1812,PGNG,Tumor of Paraganglion
1813,PGNG,Tumor of the Paraganglion
1814,GINET,Digestive System NET
1815,GINET,Digestive System Neuroendocrine Tumor
1816,GINET,Digestive System Well Differentiated Neuroendocrine Tumor
1817,GINET,Gastroenteropancreatic NET
1818,GINET,Gastroenteropancreatic Neuroendocrine Tumor
1819,GINET,Gastrointestinal NET
1820,GINET,Gastrointestinal Neuroendocrine Tumor
1821,GINET,Gastrointestinal System Neuroendocrine Tumor
1822,PBS,Breast Sarcoma
1823,PBS,Sarcoma of Breast
1824,PBS,Sarcoma of the Breast
1825,AMPULLA_OF_VATER,Ampulla of Vater
1826,AMPULLA_OF_VATER,Vater's Ampulla
1827,SAAD,Adenocarcinoma of Salivary Gland
1828,SAAD,Adenocarcinoma of the Salivary Gland
1829,SAAD,Salivary Gland Adenocarcinoma
1830,PRCC,Chromophil Carcinoma of Kidney
1831,PRCC,Chromophil Carcinoma of the Kidney
1832,PRCC,Chromophil Renal Cell Carcinoma
1833,PRCC,Papillary (Chromophil) Renal Cell Carcinoma
1834,PRCC,Papillary Renal Cell Carcinoma
1835,VMA,Vaginal Mucinous Adenocarcinoma
1836,SNUC,Sinonasal Anaplastic Carcinoma
1837,SNUC,Sinonasal Undifferentiated Carcinoma
1838,GMN,Germinoma
1839,TEOS,Malignant Bone Aneurysm
1840,TEOS,Telangiectatic Osteogenic Sarcoma
1841,TEOS,Telangiectatic Osteosarcoma
1842,MYXO,Myxoma
1843,ETT,Epithelioid Trophoblastic Tumor
1844,HTAT,Hyalinizing Trabecular Adenoma of the Thyroid
1845,HTAT,Hyalinizing Trabecular Adenoma of Thyroid
1846,HTAT,Hyalinizing Trabecular Tumor
1847,HTAT,Paraganglioma-like Adenoma
1848,HTAT,PLAT
1849,HTAT,Thyroid Gland Hyalinizing Trabecular Tumor
1850,HTAT,Thyroid Hyalinizing Trabecular Adenoma
1851,CCS,Chordoid Sarcoma
1852,CCS,Clear Cell Sarcoma of Soft Parts
1853,CCS,Clear Cell Sarcoma of Soft Tissue
1854,CCS,Malignant Melanoma of Soft Parts
1855,CCS,Malignant Melanoma of the Soft Parts
1856,THYC,Thymic Carcinoma (Excluding Well Differentiated Thymic Carcinoma)
1857,THYC,Thymic Carcinoma Excluding Well Differentiated Thymic Carcinoma
1858,THYC,Thymic Carcinoma
1859,THYC,Thymoma Type C
1860,UMLMS,Uterine Corpus Myxoid Leiomyosarcoma
1861,DIPG,Diffuse Intrinsic Pontine Glioma
1862,TCCA,Choriocarcinoma of Testis
1863,TCCA,Choriocarcinoma of the Testis
1864,TCCA,Testicular Choriocarcinoma
1865,THAP,Anaplastic Carcinoma of the Thyroid Gland
1866,THAP,Anaplastic Carcinoma of the Thyroid
1867,THAP,Anaplastic Carcinoma of Thyroid Gland
1868,THAP,Anaplastic Carcinoma of Thyroid
1869,THAP,Anaplastic Thyroid Cancer
1870,THAP,Anaplastic Thyroid Carcinoma
1871,THAP,Anaplastic Thyroid Gland Carcinoma
1872,THAP,Dedifferentiated Thyroid Gland Carcinoma
1873,THAP,Metaplastic Thyroid Gland Carcinoma
1874,THAP,Pleomorphic Thyroid Gland Carcinoma
1875,THAP,Sarcomatoid Thyroid Gland Carcinoma
1876,THAP,Thyroid Gland Carcinosarcoma
1877,THAP,Thyroid Gland Undifferentiated (Anaplastic) Carcinoma
1878,THAP,Undifferentiated (Anaplastic) Thyroid Gland Carcinoma
1879,THAP,Undifferentiated Carcinoma of the Thyroid Gland
1880,THAP,Undifferentiated Carcinoma of the Thyroid
1881,THAP,Undifferentiated Carcinoma of Thyroid Gland
1882,THAP,Undifferentiated Carcinoma of Thyroid
1883,THAP,Undifferentiated Thyroid Carcinoma
1884,THAP,Undifferentiated Thyroid Gland Carcinoma
1885,CML,Myelocytic Leukemia
1886,CML,Myelogenous Leukemia
1887,CML,Myeloid Leukemia
1888,CML,Non-Lymphoblastic Leukemia
1889,CML,Non-Lymphocytic Leukemia
1890,ECAD,Carcinoma of Endocervix
1891,ECAD,Carcinoma of the Endocervix
1892,ECAD,Endocervical Adenocarcinoma
1893,ECAD,Endocervical Carcinoma
1894,DCIS,Ductal Breast Carcinoma In Situ
1895,DCIS,Ductal Carcinoma In Situ of Breast
1896,DCIS,Ductal Carcinoma In Situ of the Breast
1897,DCIS,Ductal Carcinoma In Situ
1898,DCIS,Intraductal Breast Carcinoma
1899,DCIS,Intraductal Carcinoma of Breast
1900,DCIS,Intraductal Carcinoma of the Breast
1901,DCIS,Intraductal Carcinoma
1902,DCIS,Non-Infiltrating Ductal Adenocarcinoma of Breast
1903,DCIS,Non-Infiltrating Ductal Adenocarcinoma of the Breast
1904,DCIS,Non-Infiltrating Ductal Breast Adenocarcinoma
1905,DCIS,Non-Infiltrating Ductal Breast Carcinoma
1906,DCIS,Non-Infiltrating Ductal Carcinoma of Breast
1907,DCIS,Non-Infiltrating Ductal Carcinoma of the Breast
1908,DCIS,Non-Infiltrating Intraductal Adenocarcinoma of Breast
1909,DCIS,Non-Infiltrating Intraductal Adenocarcinoma of the Breast
1910,DCIS,Non-Infiltrating Intraductal Adenocarcinoma
1911,DCIS,Non-Infiltrating Intraductal Breast Adenocarcinoma
1912,DCIS,Non-Infiltrating Intraductal Carcinoma
1913,DCIS,Non-Invasive Ductal Adenocarcinoma of Breast
1914,DCIS,Non-Invasive Ductal Adenocarcinoma of the Breast
1915,DCIS,Non-Invasive Ductal Breast Adenocarcinoma
1916,DCIS,Non-Invasive Ductal Breast Carcinoma
1917,DCIS,Non-Invasive Ductal Carcinoma of Breast
1918,DCIS,Non-Invasive Ductal Carcinoma of the Breast
1919,DCIS,Non-Invasive Intraductal Adenocarcinoma of Breast
1920,DCIS,Non-Invasive Intraductal Adenocarcinoma of the Breast
1921,DCIS,Non-Invasive Intraductal Breast Adenocarcinoma
1922,SCHW,Benign Neurilemmoma
1923,SCHW,Benign Schwannoma
1924,SCHW,Neurilemmoma
1925,SCHW,Neurinoma
1926,SCHW,Schwannoma (WHO Grade I)
1927,SCHW,Schwannoma
1928,LIVER,"Body System, Hepatic"
1929,LIVER,"Gastrointestinal Tract, Liver"
1930,LIVER,Hepatic Body System
1931,LIVER,Hepatic Organ System
1932,LIVER,Liver
1933,LIVER,"Organ System, Hepatic"
1934,ALUCA,Lung Atypical Carcinoid Tumor
1935,ALUCA,Lung Malignant Carcinoid Tumor
1936,UCP,Pancreatic Carcinosarcoma
1937,UCP,Pleomorphic Large Cell Pancreatic Carcinoma
1938,UCP,Sarcomatoid Pancreatic Carcinoma
1939,UCP,Spindle Cell Pancreatic Carcinoma
1940,UCP,Undifferentiated (Anaplastic) Pancreatic Carcinoma
1941,UCP,Undifferentiated Carcinoma of Pancreas
1942,UCP,Undifferentiated Carcinoma of the Pancreas
1943,UCP,Undifferentiated Pancreatic Carcinoma
1944,RGNT,Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle
1945,ADRENAL_GLAND,Adrenal Glands
1946,ADRENAL_GLAND,Adrenal Gland
1947,ADRENAL_GLAND,Adrenals
1948,ESCC,Esophageal Epidermoid Carcinoma
1949,ESCC,Esophageal SCC
1950,ESCC,Esophageal Squamous Cell Carcinoma
1951,ESCC,Esophagus SCC
1952,ESCC,Esophagus Squamous Cell Carcinoma
1953,ESCC,SCC of Esophagus
1954,ESCC,SCC of the Esophagus
1955,ESCC,Squamous Cell Carcinoma of Esophagus
1956,ESCC,Squamous Cell Carcinoma of the Esophagus
1957,AFX,Atypical Cutaneous Fibroxanthoma
1958,AFX,Atypical Fibrous Histiocytoma
1959,AFX,Atypical Fibroxanthoma of Skin
1960,AFX,Atypical Fibroxanthoma of the Skin
1961,AFX,Atypical Fibroxanthoma
1962,AFX,Atypical Skin Fibroxanthoma
1963,AFX,Superficial Malignant Fibrous Histiocytoma
1964,LUMEC,Lung Mucoepidermoid Carcinoma
1965,UDMN,Undifferentiated Malignant Neoplasm
1966,CACC,Adenoid Cystic Carcinoma of Cervix Uteri
1967,CACC,Adenoid Cystic Carcinoma of Cervix
1968,CACC,Adenoid Cystic Carcinoma of the Cervix Uteri
1969,CACC,Adenoid Cystic Carcinoma of the Cervix
1970,CACC,Adenoid Cystic Carcinoma of the Uterine Cervix
1971,CACC,Adenoid Cystic Carcinoma of Uterine Cervix
1972,CACC,Cervical Adenoid Cystic Carcinoma
1973,CACC,Cervix Adenoid Cystic Carcinoma
1974,CACC,Cervix Uteri Adenoid Cystic Carcinoma
1975,CACC,Uterine Cervix Adenoid Cystic Carcinoma
1976,GTD,Gestational Trophoblastic Disease
1977,GTD,Gestational Trophoblastic Tumor
1978,GTD,GTT
1979,MDLC,Ductal and Lobular Carcinoma
1980,MDLC,Mixed Ductal and Lobular Breast Carcinoma
1981,MDLC,Mixed Ductal and Lobular Carcinoma of Breast
1982,MDLC,Mixed Ductal and Lobular Carcinoma of the Breast
1983,MDLC,Mixed Lobular and Ductal Breast Carcinoma
1984,MDLC,Mixed Lobular and Ductal Carcinoma of Breast
1985,MDLC,Mixed Lobular and Ductal Carcinoma of the Breast
1986,MDLC,Mixed Lobular and Ductal Carcinoma
1987,GBC,Cancer of Gallbladder
1988,GBC,Cancer of the Gallbladder
1989,GBC,Carcinoma of Gallbladder
1990,GBC,Carcinoma of the Gallbladder
1991,GBC,Gallbladder Cancer
1992,GBC,Gallbladder Carcinoma
1993,RAS,Radiation-Related Sarcoma
1994,SYNS,SS
1995,SYNS,"Synovial Sarcoma, NOS"
1996,SYNS,"Synovial Sarcoma, Not Otherwise Specified"
1997,SYNS,Synovial Sarcoma
1998,WDTC,Differentiated Thyroid Cancer
1999,WDTC,Differentiated Thyroid Carcinoma
2000,WDTC,Differentiated Thyroid Gland Carcinoma
2001,WDTC,Thyroid Gland Differentiated Carcinoma
2002,WDTC,Thyroid Gland Well Differentiated Carcinoma
2003,WDTC,Well Differentiated Thyroid Carcinoma
2004,WDTC,Well Differentiated Thyroid Gland Carcinoma
2005,WDTC,Well-Differentiated Thyroid Cancer
2006,ACBC,Adenocystic Breast Carcinoma
2007,ACBC,Adenocystic Carcinoma of Breast
2008,ACBC,Adenocystic Carcinoma of the Breast
2009,ACBC,Adenoid Cystic Breast Carcinoma
2010,ACBC,Adenoid Cystic Carcinoma of Breast
2011,ACBC,Adenoid Cystic Carcinoma of the Breast
2012,ACBC,Mammary Adenocystic Carcinoma
2013,POCA,Eccrine Porocarcinoma
2014,POCA,Epidermotropic Eccrine Carcinoma
2015,POCA,Malignant Eccrine Poroma
2016,PRNET,Neoplasm of Neuroepithelial Tissue
2017,PRNET,Neoplasm of Neuroepithelium
2018,PRNET,Neoplasm of the Neuroepithelium
2019,PRNET,Neuroepithelial Neoplasms
2020,PRNET,Neuroepithelial Neoplasm
2021,PRNET,Neuroepithelial Tissue Neoplasm
2022,PRNET,Neuroepithelial Tissue Tumor
2023,PRNET,Neuroepithelial Tumors
2024,PRNET,Neuroepithelial Tumor
2025,PRNET,Tumor of Neuroepithelial Tissue
2026,PRNET,Tumor of Neuroepithelium
2027,PRNET,Tumor of the Neuroepithelium
2028,PAASC,Adenosquamous Carcinoma of Pancreas
2029,PAASC,Adenosquamous Carcinoma of the Pancreas
2030,PAASC,Pancreatic Adenoacanthoma
2031,PAASC,Pancreatic Adenosquamous Carcinoma
2032,PAASC,Pancreatic Mixed Squamous and Adenocarcinoma
2033,PAASC,Pancreatic Mucoepidermoid Carcinoma
2034,SCGBM,Small Cell Glioblastoma
2035,GCTB,Giant Cell Tumor of Bone
2036,GCTB,Giant Cell Tumor of the Bone
2037,GCTB,Osteoclastoma
2038,PSC,Pancreatic Microcystic Adenoma
2039,PSC,Pancreatic Serous Cystadenoma
2040,PSC,Serous Cystadenoma of Pancreas
2041,PSC,Serous Cystadenoma of the Pancreas
2042,HCC,Carcinoma of Liver Cells
2043,HCC,Carcinoma of the Liver Cells
2044,HCC,Hepatocellular Carcinoma
2045,HCC,Hepatoma
2046,HCC,Liver Cell Cancer (Hepatocellular Carcinoma)
2047,HCC,Liver Cell Carcinoma
2048,HCC,Primary Carcinoma of Liver Cells
2049,HCC,Primary Carcinoma of the Liver Cells
2050,COADREAD,Adenocarcinoma of Large Bowel
2051,COADREAD,Adenocarcinoma of Large Intestine
2052,COADREAD,Adenocarcinoma of the Large Bowel
2053,COADREAD,Adenocarcinoma of the Large Intestine
2054,COADREAD,Colorectal Adenocarcinoma
2055,COADREAD,Large Bowel Adenocarcinoma
2056,COADREAD,Large Intestine Adenocarcinoma
2057,BRCA,Infiltrating Breast Carcinoma
2058,BRCA,Infiltrating Carcinoma of Breast
2059,BRCA,Infiltrating Carcinoma of the Breast
2060,BRCA,Invasive Breast Cancer
2061,BRCA,Invasive Breast Carcinoma
2062,BRCA,Invasive Carcinoma of Breast
2063,BRCA,Invasive Carcinoma of the Breast
2064,BRCA,Invasive Mammary Carcinoma
2065,RWDNET,Colorectal NET
2066,RWDNET,Colorectal Neuroendocrine Tumor
2067,RWDNET,Colorectal Well Differentiated Endocrine Tumor/Carcinoma
2068,RWDNET,Colorectal Well Differentiated Endocrine Tumor
2069,RWDNET,Large Intestinal Neuroendocrine Tumor
2070,SELT,Neoplasm of Sella Turcica
2071,SELT,Neoplasm of the Sella Turcica
2072,SELT,Neoplasm of the Sellar Region
2073,SELT,Sella Turcica Neoplasm
2074,SELT,Sella Turcica Tumor
2075,SELT,Sellar Neoplasm
2076,SELT,Sellar Region Neoplasm
2077,SELT,Sellar Tumor
2078,SELT,Tumor of the Sella Turcica
2079,SELT,Tumor of the Sellar Region
2080,AIS,Adenocarcinoma In Situ
2081,GNG,Ganglioglioma
2082,ACYC,Adenocystic Carcinoma
2083,ACYC,Adenoid Cystic Carcinoma
2084,ACYC,Cylindroid Adenocarcinoma
2085,LUAS,Adenosquamous Cell Lung Carcinoma
2086,LUAS,Adenosquamous Lung Carcinoma
2087,LUAS,Lung Adenosquamous Carcinoma
2088,DFSP,Dermatofibrosarcoma Protuberans
2089,DFSP,Dermatofibrosarcoma
2090,CHM,Complete Hydatid Mole
2091,CHM,Complete Hydatidiform Mole
2092,CHM,Complete Molar Pregnancy
2093,CHM,Complete Mole
2094,SKCM,Cutaneous Melanoma
2095,SKCM,Malignant Cutaneous Melanoma
2096,SKCM,"Malignant Melanoma (of Skin), Stage Unspecified"
2097,SKCM,Malignant Melanoma of Skin Stage Unspecified
2098,SKCM,Malignant Melanoma of Skin
2099,SKCM,Melanoma of Skin
2100,SKCM,Melanoma of the Skin
2101,SKCM,Skin Melanoma
2102,SKCM,"Skin, Melanoma"
2103,PRAD,Adenocarcinoma of Prostate
2104,PRAD,Adenocarcinoma of the Prostate
2105,PRAD,Prostate Adenocarcinoma
2106,ILC,Classic Invasive Lobular Carcinoma
2107,ILC,Infiltrating Lobular Adenocarcinoma
2108,ILC,Infiltrating Lobular Breast Carcinoma
2109,ILC,Infiltrating Lobular Carcinoma of Breast
2110,ILC,Infiltrating Lobular Carcinoma of the Breast
2111,ILC,Invasive Lobular Adenocarcinoma
2112,ILC,Invasive Lobular Breast Carcinoma
2113,ILC,Invasive Lobular Carcinoma of Breast
2114,ILC,Invasive Lobular Carcinoma of the Breast
2115,ILC,"Invasive Lobular Carcinoma, Classic Type"
2116,ILC,Invasive Lobular Carcinoma
2117,HL,Hodgkin Lymphoma
2118,HL,Hodgkin's Disease
2119,HL,Hodgkin's Lymphoma
2120,DSTAD,Adenocarcinoma of Linitis Plastica Type
2121,DSTAD,Adenocarcinoma of the Linitis Plastica Type
2122,DSTAD,Diffuse Adenocarcinoma of Stomach
2123,DSTAD,Diffuse Adenocarcinoma of the Stomach
2124,DSTAD,Diffuse Gastric Adenocarcinoma
2125,DSTAD,Diffuse Stomach Adenocarcinoma
2126,MTSCC,Mucinous Tubular and Spindle Cell Carcinoma of the Kidney
2127,ICEMU,"Cervical Mucinous Adenocarcinoma, Intestinal Variant"
2128,ICEMU,"Cervical Mucinous Adenocarcinoma, Intestinal-Type"
2129,AMBL,Large Cell Medulloblastoma
2130,CHOL,CC
2131,CHOL,Cholangiocarcinoma
2132,CHOL,Cholangiocellular Carcinoma
2133,MASCC,"Squamous Cell Breast Carcinoma, Spindle Cell Variant"
2134,LIPO,Liposarcoma Not Otherwise Specified
2135,LIPO,Liposarcoma
2136,AML,Acute Myeloblastic Leukemia
2137,AML,Acute Myelocytic Leukemia
2138,AML,Acute Myelogenous Leukemias
2139,AML,Acute Myelogenous Leukemia
2140,AML,Acute Myeloid Leukemia
2141,AML,Acute Nonlymphocytic Leukemia
2142,AML,AML - Acute Myeloid Leukemia
2143,AML,ANLL
2144,AML,Hematopoeitic - Acute Myleogenous Leukemia (AML)
2145,ADPA,Digital Papillary Carcinoma
2146,ADPA,Digital Papillary Eccrine Carcinoma
2147,ADPA,Papillary Digital Eccrine Carcinoma
2148,USTAD,Anaplastic Carcinoma of Stomach
2149,USTAD,Anaplastic Carcinoma of the Stomach
2150,USTAD,Anaplastic Gastric Carcinoma
2151,USTAD,Gastric Undifferentiated Carcinoma
2152,USTAD,Undifferentiated Carcinoma of Stomach
2153,USTAD,Undifferentiated Carcinoma of the Stomach
2154,USTAD,Undifferentiated Gastric Carcinoma
2155,LECLC,Lung Lymphoepithelioma-Like Carcinoma
2156,LECLC,Lymphoepithelioma-Like Lung Carcinoma
2158,SNSC,Non-Keratinizing Sinonasal Squamous Cell Carcinoma
2159,SNSC,Ringertz Carcinoma
2160,SNSC,Schneiderian Carcinoma
2161,SNSC,Sinonasal Cylindrical Cell Carcinoma
2162,SNSC,Sinonasal Schneiderian Carcinoma
2163,SNSC,Sinonasal Transitional Cell Carcinoma
2164,PB,Pancreatoblastoma
2165,EMPD,Cutaneous Paget's Disease
2166,EMPD,Extramammary Paget Disease
2167,EMPD,Extramammary Paget's Disease
2168,EMPD,Paget Disease Extramammary
2169,EMPD,Paget's Disease of Skin
2170,EMPD,Paget's Disease of the Skin
2171,EMPD,Paget's Skin Disease
2172,BEC,Central Nervous System Embryonal Carcinoma
2173,BEC,Embryonal Carcinoma of CNS
2174,BEC,Embryonal Carcinoma of the Central Nervous System
2175,EMBT,Embryonal Neoplasm
2176,NBL,Neuroblastoma (Schwannian Stroma-Poor)
2177,NBL,Neuroblastoma
2178,PEMESO,Mesothelioma of Peritoneum
2179,PEMESO,Mesothelioma of the Peritoneum
2180,PEMESO,Peritoneal Mesothelioma
2181,DDCHS,Dedifferentiated Chondrosarcoma
2182,VA,Adenocarcinoma of the Vagina
2183,VA,Adenocarcinoma of Vagina
2184,VA,Vagina Adenocarcinoma
2185,VA,Vaginal Adenocarcinoma
2186,BMGT,Central Nervous System Teratoma with Malignant Transformation
2187,BMGT,CNS Teratoma with Malignant Transformation
2188,BMGT,Teratoma of Central Nervous System with Malignant Transformation
2189,BMGT,Teratoma of CNS with Malignant Transformation
2190,BMGT,Teratoma of the Central Nervous System with Malignant Transformation
2191,BMGT,Teratoma of the CNS with Malignant Transformation
2192,VMM,Melanoma of the Vagina
2193,VMM,Melanoma of Vagina
2194,VMM,Vaginal Melanoma
2195,CSCC,Cutaneous Squamous Cell Carcinoma
2196,CSCC,Epidermoid Carcinoma of Skin
2197,CSCC,Epidermoid Carcinoma of the Skin
2198,CSCC,Epidermoid Skin Carcinoma
2199,CSCC,Skin Squamous Cell Carcinoma
2200,CSCC,Squamous Cell Carcinoma of Skin
2201,CSCC,Squamous Cell Carcinoma of the Skin
2202,CSCC,Squamous Cell Skin Carcinoma
2203,DIG,Desmoplastic Infantile Ganglioglioma
2204,LYMPH,Lymph
2205,LYMPH,"Reticuloendothelial System, Lymph"
2206,EBOV,Borderline Endometrioid Neoplasm of Ovary
2207,EBOV,Borderline Endometrioid Neoplasm of the Ovary
2208,EBOV,Borderline Endometrioid Tumor of Ovary
2209,EBOV,Borderline Endometrioid Tumor of the Ovary
2210,EBOV,Borderline Ovarian Endometrioid Neoplasm
2211,EBOV,Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor
2212,EBOV,Borderline Ovarian Endometrioid Tumor
2213,EBOV,EBT/APET
2214,EBOV,Endometrioid Neoplasm of Low Malignant Potential
2215,EBOV,"Endometrioid Neoplasm with Proliferating Activity, Ovarian"
2216,EBOV,Endometrioid Tumor of Low Malignant Potential
2217,EBOV,"Endometrioid Tumor with Proliferating Activity, Ovarian"
2218,EBOV,Low Malignant Potential Endometrioid Neoplasm of Ovary
2219,EBOV,Low Malignant Potential Endometrioid Neoplasm of the Ovary
2220,EBOV,Low Malignant Potential Endometrioid Tumor of Ovary
2221,EBOV,Low Malignant Potential Endometrioid Tumor of the Ovary
2222,EBOV,Low Malignant Potential Ovarian Endometrioid Neoplasm
2223,EBOV,Low Malignant Potential Ovarian Endometrioid Tumor
2224,EBOV,Ovarian Endometrioid Borderline Neoplasm
2225,EBOV,Ovarian Endometrioid Borderline Tumor
2226,EBOV,Ovarian Endometrioid Neoplasm of Low Malignant Potential
2227,EBOV,Ovarian Endometrioid Neoplasm with Proliferating Activity
2228,EBOV,Ovarian Endometrioid Tumor of Low Malignant Potential
2229,EBOV,Ovarian Endometrioid Tumor with Proliferating Activity
2230,EBOV,Proliferating Endometrioid Neoplasm of Ovary
2231,EBOV,Proliferating Endometrioid Neoplasm of the Ovary
2232,EBOV,Proliferating Endometrioid Tumor of Ovary
2233,EBOV,Proliferating Endometrioid Tumor of the Ovary
2234,EBOV,Proliferating Ovarian Endometrioid Neoplasm
2235,EBOV,Proliferating Ovarian Endometrioid Tumor
2237,BCCA,Chorioepithelioma
2238,THFO,Follicular Adenocarcinoma
2239,THFO,Follicular Cancer of the Thyroid Gland
2240,THFO,Follicular Cancer of the Thyroid
2241,THFO,Follicular Cancer of Thyroid Gland
2242,THFO,Follicular Cancer of Thyroid
2243,THFO,Follicular Carcinoma of the Thyroid Gland
2244,THFO,Follicular Carcinoma of the Thyroid
2245,THFO,Follicular Carcinoma of Thyroid Gland
2246,THFO,Follicular Carcinoma of Thyroid
2247,THFO,Follicular Carcinoma
2248,THFO,Follicular Thyroid Cancer
2249,THFO,Follicular Thyroid Carcinoma
2250,THFO,Follicular Thyroid Gland Carcinoma
2251,THFO,Thyroid Follicular Carcinoma
2252,THFO,Thyroid Gland Follicular Carcinoma
2253,THFO,Well-Differentiated Follicular Adenocarcinoma
2254,THFO,Well-Differentiated Follicular Carcinoma
2255,ASPS,Alveolar Soft Part Sarcoma
2256,UEC,Endometrial Endometrioid Adenocarcinoma
2257,UEC,Endometrioid Adenocarcinoma of Endometrium
2258,UEC,Endometrioid Adenocarcinoma of the Endometrium
2259,UEC,Endometrioid Carcinoma of Endometrium
2260,UEC,Endometrioid Carcinoma of the Endometrium
2261,UEC,Uterine Corpus Endometrioid Adenocarcinoma
2262,UEC,Uterine Corpus Endometrioid Carcinoma
2263,MASC,Adenosquamous Breast Carcinoma
2264,HCL,Hairy Cell Leukemia
2265,HCL,Leukemic Reticuloendotheliosis
2266,DA,Adenocarcinoma of Duodenum
2267,DA,Adenocarcinoma of the Duodenum
2268,DA,Duodenal Adenocarcinoma
2269,GCT,Abrikossoff Tumor
2270,GCT,Abrikossoff's Tumor
2271,GCT,Granular Cell Myoblastoma
2272,GCT,Granular Cell Neoplasm
2273,GCT,Granular Cell Nerve Sheath Tumor
2274,GCT,Granular Cell Schwannoma
2275,GCT,Granular Cell Tumor
2276,AODG,Anaplastic Oligodendroglioma
2277,AODG,Malignant Oligodendroglioma
2278,AODG,"Oligodendroglioma, Malignant"
